filer_lastname,filer_firstname,filer_office,office_first_name,office_middle_name,office_last_name,report_title,reporting_year,begin_travel_date,end_travel_date,date_received,transaction_date,num_pages,doc_url,file_name,source,id,date_of_birth,gender,party,state,notes,is_member,document_link
QUINN,JAMES,"CASSIDY, BILL",BILL,NA,NA,Employee Reimbursed Travel,2024,2024-04-24,2024-04-25,2024-05-20,2024-05-21,23,https://giftrule-disclosure.senate.gov/media/2024/ETEFTpLgbkeg28JKP3Nu7Q.pdf,ETEFTpLgbkeg28JKP3Nu7Q.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
QUINN,JAMES,"CASSIDY, BILL",BILL,NA,NA,Employee Reimbursed Travel,2024,2024-05-02,2024-05-04,2024-05-15,2024-05-16,21,https://giftrule-disclosure.senate.gov/media/2024/OUPacRnKs0q7G3ja1rUovA.pdf,OUPacRnKs0q7G3ja1rUovA.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
RUSSELL,TRICIA,"VAN HOLLEN, CHRIS",CHRIS,NA,NA,Employee Reimbursed Travel,2024,2024-04-18,2024-04-22,2024-05-17,2024-05-21,17,https://giftrule-disclosure.senate.gov/media/2024/2u7CAK7pv0G6cJeIu14ScA.pdf,2u7CAK7pv0G6cJeIu14ScA.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
SCHOCHET,LEILA,"SANDERS, BERNARD",BERNARD,NA,NA,Employee Reimbursed Travel,2024,2024-04-02,2024-04-04,2024-05-06,2024-05-07,22,https://giftrule-disclosure.senate.gov/media/2024/NuEf7J4206jXdW6A0AwGA.pdf,NuEf7J4206jXdW6A0AwGA.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
SCHUBERT,BENJAMIN,"PETERS, GARY",GARY,NA,NA,Employee Reimbursed Travel,2024,2024-04-25,2024-04-26,2024-05-28,2024-05-28,16,https://giftrule-disclosure.senate.gov/media/2024/4CUwkiVmHU6E7vKNQwv6w.pdf,4CUwkiVmHU6E7vKNQwv6w.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
TELLE,ADAM,"HAGERTY, BILL",BILL,NA,NA,Employee Reimbursed Travel,2024,2024-05-02,2024-05-04,2024-05-16,2024-05-17,22,https://giftrule-disclosure.senate.gov/media/2024/ysSfiEntnEKsC1W3CCUsrQ.pdf,ysSfiEntnEKsC1W3CCUsrQ.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
VAN HOLLEN,CHRIS,"VAN HOLLEN, CHRIS",CHRIS,NA,NA,Member Reimbursed Travel,2024,2024-04-01,2024-04-04,2024-05-06,2024-05-07,18,https://giftrule-disclosure.senate.gov/media/2024/qh1LtC7DO0a7pDXMD0Y4Tw.pdf,qh1LtC7DO0a7pDXMD0Y4Tw.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,TRUE,NA
WAIT,MARK,"LEE, MIKE",MIKE,NA,NA,Employee Reimbursed Travel,2024,2024-05-02,2024-05-04,2024-05-13,2024-05-13,19,https://giftrule-disclosure.senate.gov/media/2024/Aulop3I4m0qRLF0Y6WJbw.pdf,Aulop3I4m0qRLF0Y6WJbw.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
WALKER,KRISTIN P,"LUMMIS, CYNTHIA",CYNTHIA,NA,NA,Employee Reimbursed Travel,2024,2024-04-18,2024-04-21,2024-05-20,2024-05-21,20,https://giftrule-disclosure.senate.gov/media/2024/FAtBJPlGT0eu7zyJSr5okQ.pdf,FAtBJPlGT0eu7zyJSr5okQ.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
WEINER,ELI,"BENNET, MICHAEL",MICHAEL,NA,NA,Employee Reimbursed Travel,2024,2024-04-25,2024-04-26,2024-05-21,2024-05-21,18,https://giftrule-disclosure.senate.gov/media/2024/ENTLX2949EmLTmVbpf7gA.pdf,ENTLX2949EmLTmVbpf7gA.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
